ProteinID,PSME1_KD_1_original_intensity,PSME1_KD_2_original_intensity,PSME1_KD_3_original_intensity,Scram_1_original_intensity,Scram_2_original_intensity,Scram_3_original_intensity
COPG1,27.88703686,28.066967174140895,28.289721991336997,27.95521060217186,28.075859416433115,27.918366164953174
COPG2,26.70888673172733,26.677015374513168,26.776177968815173,26.606912437240982,26.542848830208698,26.481421009695236
COPS2,27.52310399072805,27.783748990143213,27.621704242137163,27.531716767939365,27.488712551727556,27.31630752447512
COPS3,26.530985700783347,26.57487794027461,26.69717928998784,26.407336175780106,26.56000172418797,26.24798630737637
COPS4,27.556138497030837,27.53180486659122,27.336912178749994,27.379024389111265,27.333955019029663,27.171653527962704
COPS5,27.243699074166855,27.699253504960584,27.412435267240777,27.456878248543603,26.892247005404602,27.37777775075021
COPS6,27.62874598720058,27.65442908528456,28.021185927749183,27.52166885,27.499780108316813,27.589300067628383
COPS7A,26.51154956,26.369878991240967,23.429956824152416,26.371094727344506,26.694108611235382,23.07976420013965
COPS7B,26.458493956719813,26.27558717610345,26.190546288184965,26.244980577305252,26.08349152175406,26.180188083001212
COPS8,25.39800917264216,25.492797560293646,25.617835387469754,25.71336551564205,25.670931313584443,25.47032612
COQ5,24.632568175426364,24.675971407780327,24.366222827218312,24.791134988557396,24.417109859248466,24.889341236883237
COQ6,28.35378114198871,28.496570227073896,28.092313065074347,28.138899542270547,28.244488475379903,28.5000931
COQ7,24.873168898751636,23.71787459436795,24.612330796670605,23.337154044317916,22.86856560823713,23.069454043428312
COQ9,27.109498538644726,27.09262138,26.863484869124417,27.417142182323726,27.08798018198643,27.232117824305018
CORO1B,27.79391667896789,28.11615073082318,28.27795786978558,27.98334926122882,28.05198699529537,27.775442641905425
CORO1C,29.455983192282194,29.334533879103812,29.718455386544008,29.85914897643163,29.824217318513725,29.799226561153027
CORO7,25.465018890132832,23.27451156199461,25.380375518044364,23.588583686032866,23.12018276461853,25.44848757071021
COTL1,29.903853672778745,29.661394341906064,29.597262606256212,30.021949936519825,30.32667899346359,30.107191212404185
COX11,23.585682469174046,25.140156812637663,25.083424148698693,25.713207386081866,22.842959271162048,25.14687161684088
COX17,26.66670797994076,26.825991562280876,26.750836718561626,26.78209236170593,26.517842849350412,26.735103022859562
COX19,24.63964525188306,24.984058685247795,25.257794804051414,25.236074741872674,23.931013942418573,23.492110719050213
COX20,26.88017908198363,26.849094328764004,26.76756861787924,26.694825815644066,27.031160327254565,26.985214903100296
COX4I1,32.01715846494609,32.11039096811977,31.81179726032817,32.13176903671366,32.20771537002372,32.19950746026391
COX5A,30.621980907324513,31.13239100361047,31.078150402470662,30.831355274298488,31.069438248664174,31.095544771429573
COX5B,26.525597606745055,26.951532499915736,27.376750445321196,27.576303345205528,27.341664487184488,27.209154305676428
COX6A1,30.785444959854964,30.889824136187638,30.180652375495143,30.80462446053006,30.436050805993045,30.68326561699314
COX6B1,26.538961730285017,26.92957596170945,26.874492892240415,24.025338669928395,23.31800853205111,26.787918903632008
COX6C,29.819997051679657,29.95892445,29.809786932404386,29.54523431777254,29.518436276481353,29.634199497130343
COX7A2,24.21942291753202,23.600840831137997,22.95175431991837,23.885631808966107,29.395865445707393,23.08859190153513
COX7A2L,26.54716665310674,26.577747263099685,27.041755791518916,27.15635505362189,27.07549987,26.943379258052925
COX7C,27.51657249,27.25056036967009,27.591822249352447,27.134182600396596,27.284236640801787,27.744703984626973
CP,25.257532760413874,25.754072572438247,25.018744665482387,25.352905935170025,25.433171146237168,25.568093116455575
CPD,28.569257522665293,28.49045461,28.426940115871158,28.453963314227025,28.656346845607942,28.72228568
CPEB2,23.090701516210235,23.046646038131502,23.861820449444757,22.47492774,24.638167327296102,24.374054830354854
CPEB4,24.88607765090628,24.789428557460297,24.771803748790543,25.561988913398558,25.585405144778886,25.652702677253725
CPLX2,29.114982588303448,29.498842725048515,29.629148912251562,30.00199681,30.295262647576937,29.54832586585525
CPM,22.926596110931957,23.43911949174274,24.03959991,23.905074741488836,24.171483166110892,23.960280777433876
CPNE1,26.58285707866499,26.831771984201072,26.972274490798213,27.319067752491193,27.321446896735733,27.170173745753715
CPNE2,24.079509540754284,24.579294327850832,24.58549715135742,24.962923249536605,24.512904546317557,24.123244286174767
CPNE3,28.197184075436464,28.58671290072027,28.963266080151556,28.71747081238868,28.99247856352913,28.659962890024484
CPNE7,24.787431920653265,24.74753848967604,24.437043360976727,24.82845345988592,25.30194341285671,25.22277995972568
CPNE8,26.776167146266953,26.64932364064412,26.881433181006066,26.82101278412453,26.81090294498624,26.945867689877673
CPOX,28.717515825133464,28.648232136872828,28.576935781013713,28.645681470064854,28.502228077582682,28.770812366684765
CPPED1,26.145863264861724,26.356574964732335,26.312975005217837,26.63584314274782,26.365792708068234,26.33805126905408
CPS1,29.141733263549323,29.082934524581056,28.731306459200432,29.273680198997464,29.073392128199927,29.286568891466494
CPSF1,27.52039770068723,27.428146818853367,27.471237993144957,27.466135377358896,27.388978469579893,27.578114982754453
CPSF2,27.020366763473785,26.90864811737231,27.178982451325854,26.98542406049471,27.00194262704018,27.28066689065696
